,Date,Opposing Team,Win or Loss,Score,Record,Leading Scorer-Winner,Leading Scorer Points,Leading Scorer Loss,Leading Scorer Points
0,"Oct 21, 2021",Atlanta,L,113-87,0-1,cam-reddish,(20),luka-doncic,(18)
1,"Oct 23, 2021",Toronto,W,103-95,1-1,luka-doncic,(27),og-anunoby,(23)
2,"Oct 26, 2021",Houston,W,116-106,2-1,luka-doncic,(26),eric-gordon,(22)
3,"Oct 28, 2021",San Antonio,W,104-99,3-1,luka-doncic,(25),dejounte-murray,(23)
4,"Oct 29, 2021",Denver,L,106-75,3-2,will-barton,(17),luka-doncic,(16)
5,"Oct 31, 2021",Sacramento,W,105-99,4-2,luka-doncic,(23),richaun-holmes,(22)
6,"Nov 2, 2021",Miami,L,125-110,4-3,tyler-herro,(25),luka-doncic,(33)
7,"Nov 3, 2021",San Antonio,W,109-108,5-3,jalen-brunson,(31),dejounte-murray,(23)
8,"Nov 6, 2021",Boston,W,107-104,6-3,luka-doncic,(33),jayson-tatum,(32)
9,"Nov 8, 2021",New Orleans,W,108-92,7-3,luka-doncic,(25),josh-hart,(22)
10,"Nov 10, 2021",Chicago,L,117-107,7-4,zach-lavine,(23),kristaps-porzingis,(22)
11,"Nov 12, 2021",San Antonio,W,123-109,8-4,luka-doncic,(32),devin-vassell,(20)
12,"Nov 15, 2021",Denver,W,111-101,9-4,kristaps-porzingis,(29),nikola-jokic,(35)
13,"Nov 17, 2021",Phoenix,L,105-98,9-5,devin-booker,(24),tim-hardaway-jr,(22)
14,"Nov 19, 2021",Phoenix,L,112-104,9-6,mikal-bridges,(19),kristaps-porzingis,(23)
15,"Nov 21, 2021",L.A. Clippers,L,97-91,9-7,paul-george,(29),kristaps-porzingis,(25)
16,"Nov 23, 2021",L.A. Clippers,W,112-104,10-7,kristaps-porzingis,(30),reggie-jackson,(31)
17,"Nov 27, 2021",Washington,L,120-114,10-8,bradley-beal,(26),luka-doncic,(33)
18,"Nov 29, 2021",Cleveland,L,114-96,10-9,jarrett-allen,(28),luka-doncic,(25)
19,"Dec 1, 2021",New Orleans,W,139-107,11-9,luka-doncic,(28),brandon-ingram,(29)
20,"Dec 3, 2021",New Orleans,L,107-91,11-10,brandon-ingram,(24),luka-doncic,(21)
21,"Dec 4, 2021",Memphis,L,97-90,11-11,desmond-bane,(29),tim-hardaway-jr,(29)
22,"Dec 7, 2021",Brooklyn,L,102-99,11-12,kevin-durant,(24),luka-doncic,(28)
23,"Dec 8, 2021",Memphis,W,104-96,12-12,luka-doncic,(26),jaren-jackson-jr,(26)
24,"Dec 10, 2021",Indiana,L,106-93,12-13,caris-levert,(26),luka-doncic,(27)
25,"Dec 12, 2021",Oklahoma City,W,103-84,13-13,jalen-brunson,(18),shai-gilgeous-alexander,(18)
26,"Dec 13, 2021",Charlotte,W,120-96,14-13,kristaps-porzingis,(24),kelly-oubre-jr,(20)
27,"Dec 15, 2021",L.A. Lakers,L,107-104,14-14,lebron-james,(24),jalen-brunson,(25)
28,"Dec 19, 2021",Minnesota,L,111-105,14-15,karl-anthony-towns,(21),tim-hardaway-jr,(24)
29,"Dec 21, 2021",Minnesota,W,114-102,15-15,jalen-brunson,(28),karl-anthony-towns,(26)
30,"Dec 23, 2021",Milwaukee,L,102-95,15-16,khris-middleton,(26),jalen-brunson,(19)
31,"Dec 25, 2021",Utah,L,120-116,15-17,donovan-mitchell,(33),jalen-brunson,(27)
32,"Dec 27, 2021",Portland,W,132-117,16-17,kristaps-porzingis,(34),damian-lillard,(26)
33,"Dec 29, 2021",Sacramento,L,95-94,16-18,deaaron-fox,(16),jalen-brunson,(25)
34,"Dec 31, 2021",Sacramento,W,112-96,17-18,kristaps-porzingis,(24),tyrese-haliburton,(17)
35,"Jan 2, 2022",Oklahoma City,W,95-86,18-18,marquese-chriss,(15),josh-giddey,(17)
36,"Jan 3, 2022",Denver,W,103-89,19-18,luka-doncic,(21),nikola-jokic,(27)
37,"Jan 5, 2022",Golden St.,W,99-82,20-18,luka-doncic,(26),andrew-wiggins,(17)
38,"Jan 7, 2022",Houston,W,130-106,21-18,tim-hardaway-jr,(19),christian-wood,(20)
39,"Jan 9, 2022",Chicago,W,113-99,22-18,luka-doncic,(22),zach-lavine,(20)
40,"Jan 12, 2022",New York,L,108-85,22-19,rj-barrett,(32),luka-doncic,(21)
41,"Jan 14, 2022",Memphis,W,112-85,23-19,luka-doncic,(27),ja-morant,(19)
42,"Jan 15, 2022",Orlando,W,108-92,24-19,luka-doncic,(23),jalen-suggs,(16)
43,"Jan 17, 2022",Oklahoma City,W,104-102,25-19,luka-doncic,(20),shai-gilgeous-alexander,(34)
